Source,Platform,Title,Type,Original Price,Start/Discovery Date,End Date,URL
API (Ativo),Epic Games,Caravan SandWitch,Jogo,"R$ 43,99",Disponível,20/08/2026 às 15:00 (UTC),https://store.epicgames.com/pt-BR/p/caravan-sandwitch-05ff58
API (Ativo),Epic Games,Dominion Synergy Gift Pack Key Giveaway,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/dominion-synergy-gift-pack-key-giveaway
API (Ativo),Epic Games,DungeonLoot: Open Beta Has Arrived!,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/dungeonloot-open-beta-has-arrived
API (Ativo),Epic Games,Project First Contact (Epic Games) Giveaway,Jogo,$1.99,Disponível,2026-08-17 23:59:00,https://www.gamerpower.com/open/project-first-contact-epic-games-giveaway
API (Ativo),Epic Games,Targeted – 10 Days (Epic Games) Giveaway,Jogo,$4.99,Disponível,2026-08-31 23:59:00,https://www.gamerpower.com/open/targeted-10-days-epic-games-giveaway
API (Ativo),"PC, Playstation 4, Xbox One",Destiny 2 Emblem Key Giveaway,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/destiny-2-emblem-key-giveaway
API (Ativo),"PC, Playstation 4, Xbox One",Destiny 2: Free Emblem Codes,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/destiny-2-free-emblem-codes
API (Ativo),"PC, Playstation 4, Xbox One",Free Rocket League Codes,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/free-rocket-league-codes
API (Ativo),"PC, Playstation 5, Android, iOS",Arknights: Endfield Gift Pack Key Giveaway,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/arknights-endfield-gift-pack-key-giveaway
API (Ativo),"PC, Playstation 5, Playstation 4",Genshin Impact: New Primogems Codes,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/genshin-impact-new-primogems-codes
API (Ativo),"PC, Playstation 5, Xbox One",Tomb Raider Legacy of Atlantis: Lara Croft Wetsuit Skin Giveaway,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/tomb-raider-legacy-of-atlantis-lara-croft-wetsuit-skin-giveaway
API (Ativo),"PC, Playstation 5, Xbox Series X|S, Playstation 4, Xbox One",The Elder Scrolls Online: Experience Scroll Key Giveaway,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/the-elder-scrolls-online-experience-scroll-key-giveaway
API (Ativo),"PC, Playstation 5, Xbox Series X|S, Playstation 4, Xbox One",The Elder Scrolls Online: Pyromancer's Quandary Emote Key Giveaway,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/the-elder-scrolls-online-pyromancer-s-quandary-emote-key-giveaway
API (Ativo),"PC, Playstation 5, Xbox Series X|S, Playstation 4, Xbox One, Android, iOS",Idle Champions Lae'zel Key Giveaway,DLC / Extra,N/A,Disponível,Enquanto durarem os estoques,https://www.gamerpower.com/open/idle-champions-lae-zel-key-giveaway
API (Ativo),Prime Gaming (Amazon),In Sound Mind,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/in-sound-mind-aga/dp/amzn1.pg.item.1a5c5cac-5445-48ba-89f6-91c4e0068399
API (Ativo),Prime Gaming (Amazon),Lost Eidolons: Veil of the Witch,Jogo,Incluído no Prime,Disponível,A partir de 25/06/2026,https://luna.amazon.com/claims/lost-eidolons-veil-of-the-witch-aga/dp/amzn1.pg.item.6a617cd8-36cc-4652-bea1-d073b1fb89e5
API (Ativo),Prime Gaming (Amazon),Terraforming Mars,Jogo,Incluído no Prime,Disponível,A partir de 25/06/2026,https://luna.amazon.com/claims/terraforming-mars-aga/dp/amzn1.pg.item.805ab02d-bcd9-4d95-81ad-6c495def553e
API (Ativo),Prime Gaming (Epic),Airship: Kingdoms Adrift,Jogo,Incluído no Prime,Disponível,Verifique no site,https://luna.amazon.com/claims/airship-kingdoms-adrift-epic/dp/amzn1.pg.item.aa62d067-6b98-4929-bc49-3ccdd11d888a
